"IT_DATETIME,""DS_CODE"",""DS_NAME"",""DS_DESC"",""DS_LAT"",""DS_LON"",""DS_ALT"",""REN1.RD"",""REN1.Q_RD"",""REH1.PG"",""REH1.Q_PG"",""REH1.TX"",""REH1.Q_TX"",""REH1.DDVEC"",""REH1.Q_DDVEC"",""REH1.DDFHX"",""REH1.Q_DDFHX"",""REH1.TXG"",""REH1.Q_TXG"",""REH1.UG"",""REH1.Q_UG"",""REH1.TG"",""REH1.Q_TG"",""REH1.FHX"",""REH1.Q_FHX"",""REH1.TN"",""REH1.Q_TN"",""REH1.FG"",""REH1.Q_FG"""
"19710202_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""2.4"",,,,,,,,""70"",,""-2.5"",,,,""-6.9"",,,"
"19710202_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710203_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""5.5"",,,,,,,,""90"",,""2.3"",,,,""-1.7"",,,"
"19710203_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710204_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""6.4"",,,,,,,,""96"",,""5.8"",,,,""5.3"",,,"
"19710204_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710205_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""5.4"",,,,,,,,""90"",,""4.8"",,,,""4.3"",,,"
"19710205_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710206_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""4.3"",,,,,,,,""92"",,""3.1"",,,,""2.6"",,,"
"19710206_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710207_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""5.1"",,,,,,,,""94"",,""3.3"",,,,""1.7"",,,"
"19710207_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710208_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""7.1"",,,,,,,,""88"",,""4.9"",,,,""3.1"",,,"
